Author;Year;ControlGroup_ID;wait;Attention;TAU;Study_ID;Intervention_Type;Sex_(Female);Age_(mean);Outcome_ID;g;v;Thinking;DSH;Spesific;Follow_up;Duration (weeks);Total Attrition (%)
Motto;2001;1;1;0;0;23;0;0.55;NA;47;0.034490691608958;0.008457;1;0;SI;0;260;0
Motto;2001;1;1;0;0;23;0;0.55;NA;47;0.167647390986092;0.008389;0;1;SA;1;782;0
Robinson;2012;3;0;0;1;24;1;62;18.6;48;-0.007846013667426;0.061249;0;1;Suicide ;0;52;32
Robinson;2012;3;0;0;1;24;1;62;18.6;49;0.122159453302961;0.047494;1;0;SI;0;52;32
Robinson;2012;3;0;0;1;24;1;62;18.6;50;0.385348519362187;0.173914;1;0;SI;0;52;32
Robinson;2012;3;0;0;1;24;1;62;18.6;51;0.05482277904328;0.05673;0;1;DSH;0;52;32
Robinson;2012;3;0;0;1;24;1;62;18.6;52;-0.216410933940774;0.173844;0;1;DSH;0;52;32
Robinson;2012;3;0;0;1;24;1;62;18.6;53;-0.017876993166287;0.0359;0;1;SA;0;52;32
Robinson;2012;3;0;0;1;24;1;62;18.6;48;0.047575221238938;0.152749;0;1;Suicide ;1;78;47
Robinson;2012;3;0;0;1;24;1;62;18.6;49;0.137373451327434;0.082625;1;0;SI;1;78;47
Robinson;2012;3;0;0;1;24;1;62;18.6;50;0.792920353982301;0.420428;1;0;SI;1;78;47
Robinson;2012;3;0;0;1;24;1;62;18.6;51;0.48923185840708;0.15289;0;1;DSH;1;78;47
Robinson;2012;3;0;0;1;24;1;62;18.6;52;0.168495575221239;0.622574;0;1;DSH;1;78;47
Robinson;2012;3;0;0;1;24;1;62;18.6;53;-0.177911504424779;0.0472;0;1;SA;1;78;47
Tighe;2016;1;1;0;0;25;1;64;26;54;0;0.0656;1;0;SI;0;6;3
Wilksch;2019;2;0;1;0;26;1;100;21;55;0.654791811023622;0.356513;1;0;SI;0;10;NA
Wilksch;2019;2;0;1;0;26;1;100;21;56;0.512160804020101;0.117234;1;0;SI-PREVENTION;0;10;NA
Wilksch;2019;2;0;1;0;26;1;100;21;55;0.251144278606965;0.108208;1;0;SI-PREVENTION;1;62;NA
Wilksch;2019;2;0;1;0;26;1;100;21;56;0.48414748603352;0.132276;1;0;SI-TREATMENT;1;62;NA
Wilks;2018;1;1;0;0;27;1;69.5;38;57;0.463503664921466;0.0823;1;0;SI-TREATMENT;0;4;17
Wilks;2018;1;1;0;0;27;1;69.5;38;57;0.452774869109948;0.0823;1;0;SI;1;12;17
Wilks;2018;1;1;0;0;27;1;69.5;38;57;0.511832460732984;0.0828;1;0;SI;1;16;17
van Spijker;2014;1;1;0;0;28;1;66.1;41;57;0.279101604278075;0.0171;1;0;SI;0;6;9
van Spijker;2018;2;0;1;0;29;1;77.3;41;58;0.159463687150838;0.0178;1;0;SI;0;6;45.9
van Spijker;2018;2;0;1;0;29;1;77.3;41;58;0.059675675675676;0.0297;1;0;SUICIDAL THOUGHTS;1;58;66.3
Rodante;2020;3;0;0;1;30;1;81;30;59;-0.276190476190476;0.2247;1;0;SUICIDAL THOUGHTS;0;4;14.2
Rodante;2020;3;0;0;1;30;1;81;30;60;0.301428571428571;0.225;1;0;SUICIDAL THOUGHTS;0;4;14.2
Rodante;2020;3;0;0;1;30;1;81;30;61;0.198095238095238;0.2234;1;0;SI;0;4;14.2
Rodante;2020;3;0;0;1;30;1;81;30;62;0.346761904761905;0.2259;1;0;SP ;0;4;14.2
Christensen;2013;1;1;0;0;31;1;81.9;41.49;63;0.098550724637681;0.0196;1;0;SI;0;6;28.94
Christensen;2013;1;1;0;0;31;1;81.9;41.49;63;0.353684210526316;0.0196;1;0;SI;1;32;39.4
Hill;2019;1;1;0;0;32;1;68.8;16.67;64;0.227415730337079;0.0582;1;0;SI;0;8;13.75
Hill;2019;2;0;1;0;32;1;68.8;16.67;64;0.500776727272727;0.0582;1;0;SI;1;2;11.25
Amadeo;2015;3;0;0;1;33;0;64;32;65;-0.172010119840213;0.035593;1;0;SI;0;78;0
Bertolote;2010;3;0;0;1;34;0;61;NA;66;-0.011594761402981;0.010464;0;1;SA;0;78;9
